DateTime,Segment,Segment_Label,Daily_Energy_kWh,Max_Active_Power,Peak_to_Average_Ratio,Power_Variability,Sub_Metering_1,Sub_Metering_2,Sub_Metering_3,Submeter_1_kWh,Submeter_2_kWh,Submeter_3_kWh,Submeter_Total_kWh,Reactive_to_Active_Ratio,Avg_Voltage,DayOfWeek,IsWeekend,Month,Year
2006-12-17,1,High Consumption High Demand,56.507666666666665,7.064,3.0002300572783636,0.5121268024662303,2033.0,4187.0,13341.0,2.033,4.187,13.341,19.561,0.06665939135102611,240.0870277777778,6,1,12,2006
2006-12-18,0,Moderate Stable Consumption,36.73043333333333,6.158,4.023693340581334,0.6567246157753455,1063.0,2621.0,14018.0,1.063,2.621,14.018,17.702,0.07341414431084849,241.23169444444446,0,0,12,2006
2006-12-19,1,High Consumption High Demand,27.7699,7.84,6.775681583297023,1.0695918239046478,839.0,7602.0,6197.0,0.839,7.602,6.197,14.638000000000002,0.0905908915768512,241.9993125,1,0,12,2006
2006-12-20,0,Moderate Stable Consumption,37.095800000000004,5.988,3.8740773888149067,0.854631292737326,0.0,2648.0,14063.0,0.0,2.648,14.063,16.711000000000002,0.07233433434512801,242.30806249999998,2,0,12,2006
2006-12-21,1,High Consumption High Demand,28.618566666666666,5.854,4.909260538321859,0.8330566425144322,1765.0,2623.0,10421.0,1.765,2.623,10.421,14.809,0.08395831610481307,241.0419027777778,3,0,12,2006
2006-12-22,1,High Consumption High Demand,39.0223,7.884,4.848919720262516,0.8832979742583678,3151.0,350.0,11131.0,3.151,0.35,11.131,14.632,0.07982871332545749,241.1845486111111,4,0,12,2006
2006-12-23,1,High Consumption High Demand,79.55643333333335,8.698,2.6239487022419725,0.45349734539476777,2669.0,425.0,14726.0,2.669,0.425,14.726,17.82,0.046396834448335,240.1360763888889,5,1,12,2006
2006-12-24,1,High Consumption High Demand,42.5002,6.824,3.8535348068950257,0.7202054521878639,1703.0,5082.0,6891.0,1.703,5.082,6.891,13.676,0.0587840370947274,241.6874375,6,1,12,2006
2006-12-25,1,High Consumption High Demand,45.718666666666664,6.702,3.5182128379363644,0.7484498051701708,6620.0,1962.0,5795.0,6.62,1.962,5.795,14.377,0.08759368893814343,243.39993055555558,0,0,12,2006
2006-12-26,1,High Consumption High Demand,65.5685,6.496,2.3777271098164516,0.35049127919579914,1086.0,2533.0,14979.0,1.086,2.533,14.979,18.598,0.04196679808139579,241.6254375,1,0,12,2006
2006-12-27,0,Moderate Stable Consumption,25.479333333333333,5.56,5.237185692979931,0.7776612289083811,0.0,314.0,6976.0,0.0,0.314,6.976,7.29,0.11702425495172558,243.76736111111111,2,0,12,2006
2006-12-28,1,High Consumption High Demand,34.54396666666666,9.132,6.3446101055756,0.9978880462401069,2207.0,4419.0,9176.0,2.207,4.419,9.176,15.802,0.10077784929157915,243.26833333333335,3,0,12,2006
2006-12-29,1,High Consumption High Demand,52.90653333333333,7.238,3.2833752101189773,0.5958037336633593,1252.0,5162.0,11329.0,1.252,5.162,11.329,17.743000000000002,0.06186822547435856,240.87130555555555,4,0,12,2006
2006-12-30,1,High Consumption High Demand,46.7056,9.078,4.6647939433387,0.8985223993665935,3147.0,7938.0,12515.0,3.147,7.938,12.515,23.6,0.11159261416189922,240.53597222222223,5,1,12,2006
2006-12-31,0,Moderate Stable Consumption,58.236599999999996,6.722,2.7702166678686604,0.479782848757356,0.0,347.0,6502.0,0.0,0.347,6.502,6.849,0.04317216321007752,239.8965763888889,6,1,12,2006
2007-01-01,0,Moderate Stable Consumption,45.81673333333333,3.558,1.863773206586822,0.4777646443063328,0.0,352.0,5880.0,0.0,0.352,5.88,6.232,0.05389806635421411,240.12897916666665,0,0,1,2007
2007-01-02,0,Moderate Stable Consumption,21.153933333333335,3.688,4.184186392443959,0.7972942022529557,0.0,348.0,6562.0,0.0,0.348,6.562,6.91,0.14996580620152594,241.94377777777777,1,0,1,2007
2007-01-03,0,Moderate Stable Consumption,16.9009,5.19,7.370021714819922,0.7987841894022242,0.0,344.0,4765.0,0.0,0.344,4.765,5.109,0.19400150287854492,243.5570902777778,2,0,1,2007
2007-01-04,1,High Consumption High Demand,54.32353333333333,5.976,2.6401817260291125,0.5128385398137206,1051.0,7597.0,10896.0,1.051,7.597,10.896,19.544,0.0620670231317796,239.7502986111111,3,0,1,2007
2007-01-05,0,Moderate Stable Consumption,45.22273333333333,5.73,3.040948431541069,0.5442622602858637,1483.0,379.0,7602.0,1.483,0.379,7.602,9.464,0.06381524926253905,240.49576388888892,4,0,1,2007
2007-01-06,2,Low Consumption High Variability,25.139633333333332,8.044,7.679348280073033,0.9194981813845665,1336.0,402.0,5678.0,1.336,0.402,5.678,7.416,0.12741368542898399,239.67305555555555,5,1,1,2007
2007-01-07,1,High Consumption High Demand,40.79366666666667,7.774,4.573651138657144,0.9815069717251299,1987.0,8177.0,12810.0,1.987,8.177,12.81,22.974,0.10053603091983233,240.90248611111113,6,1,1,2007
2007-01-08,0,Moderate Stable Consumption,37.356,4.97,3.193061355605525,0.5847763553397701,0.0,467.0,17547.0,0.0,0.467,17.547,18.014,0.0926080593925117,239.5769513888889,0,0,1,2007
2007-01-09,1,High Consumption High Demand,31.1509,8.67,6.679742800368528,0.9676706093162376,1688.0,4267.0,9790.0,1.688,4.267,9.79,15.745,0.11088390169572415,240.48752083333335,1,0,1,2007
2007-01-10,1,High Consumption High Demand,35.913333333333334,6.836,4.568331167625765,0.8630431588460016,771.0,4456.0,11012.0,0.771,4.456,11.012,16.239,0.10602004826434007,241.02745138888892,2,0,1,2007
2007-01-11,1,High Consumption High Demand,37.58656666666666,7.754,4.951130590095575,0.9480318400991946,1378.0,2170.0,12415.0,1.378,2.17,12.415,15.963,0.10199565979689552,241.1556875,3,0,1,2007
2007-01-12,0,Moderate Stable Consumption,24.354933333333335,6.478,6.3835937414459485,0.9150561185217843,0.0,439.0,8276.0,0.0,0.439,8.276,8.715,0.13627629173008066,241.53820833333336,4,0,1,2007
2007-01-13,1,High Consumption High Demand,53.113566666666664,9.272,4.189664034361592,0.8591276222182604,7806.0,2975.0,11341.0,7.806,2.975,11.341,22.122,0.09123092844452171,239.28361111111113,5,1,1,2007
2007-01-14,1,High Consumption High Demand,50.183816666666665,7.64,3.65376753262755,0.6617482844102567,1777.0,4215.0,12991.5,1.777,4.215,12.9915,18.9835,0.07551471606550453,238.81780555555557,6,1,1,2007
